type	time	latitude	longitude	altitude (m)	pace (min/km)	distance (km)	distance_interval (m)	hr	name	desc
T	2022-02-19 09:36:40	51.527898000	-0.076496000	16.9	4.55	8.394	3.66			
T	2022-02-19 09:36:41	51.527874000	-0.076530000	16.9	4.68	8.398	3.56			
T	2022-02-19 09:36:42	51.527849000	-0.076559000	16.9	4.85	8.401	3.43			
T	2022-02-19 09:36:43	51.527819000	-0.076595000	16.9	4.00	8.406	4.17			
T	2022-02-19 09:36:44	51.527810000	-0.076612000	16.9	10.77	8.407	1.55			
T	2022-02-19 09:36:45	51.527781000	-0.076647000	16.9	4.13	8.411	4.04			
T	2022-02-19 09:36:46	51.527765000	-0.076682000	16.9	5.53	8.414	3.01			
T	2022-02-19 09:36:47	51.527743000	-0.076719000	16.9	4.70	8.418	3.55			
T	2022-02-19 09:36:48	51.527713000	-0.076757000	16.9	3.92	8.422	4.25			
T	2022-02-19 09:36:49	51.527705000	-0.076772000	16.9	12.17	8.423	1.37			
T	2022-02-19 09:36:50	51.527673000	-0.076794000	16.9	4.30	8.427	3.87			
T	2022-02-19 09:36:51	51.527658000	-0.076830000	16.9	5.55	8.430	3.00			
T	2022-02-19 09:36:52	51.527629000	-0.076845000	16.9	4.92	8.434	3.39			
T	2022-02-19 09:36:53	51.527613000	-0.076882000	16.9	5.33	8.437	3.12			
T	2022-02-19 09:36:54	51.527592000	-0.076916000	16.9	5.02	8.440	3.32			
T	2022-02-19 09:36:55	51.527583000	-0.076959000	17.0	5.29	8.443	3.15			
T	2022-02-19 09:36:56	51.527553000	-0.076968000	17.0	4.91	8.447	3.40			
T	2022-02-19 09:36:57	51.527515000	-0.076988000	17.0	3.75	8.451	4.45			
T	2022-02-19 09:36:58	51.527495000	-0.077046000	17.0	3.62	8.456	4.60			
T	2022-02-19 09:36:59	51.527483000	-0.077066000	17.0	8.65	8.458	1.93			
T	2022-02-19 09:37:00	51.527465000	-0.077114000	17.0	4.29	8.461	3.89			
T	2022-02-19 09:37:01	51.527448000	-0.077165000	17.1	4.15	8.466	4.01			
T	2022-02-19 09:37:02	51.527438000	-0.077181000	17.1	10.60	8.467	1.57			
T	2022-02-19 09:37:03	51.527428000	-0.077229000	17.1	4.75	8.471	3.51			
T	2022-02-19 09:37:04	51.527408000	-0.077260000	17.1	5.38	8.474	3.10			
T	2022-02-19 09:37:05	51.527382000	-0.077312000	17.1	3.60	8.478	4.63			
T	2022-02-19 09:37:06	51.527372000	-0.077334000	17.1	8.82	8.480	1.89			
T	2022-02-19 09:37:07	51.527360000	-0.077374000	17.2	5.41	8.483	3.08			
T	2022-02-19 09:37:08	51.527350000	-0.077418000	17.2	5.13	8.487	3.25			
T	2022-02-19 09:37:09	51.527328000	-0.077455000	17.2	4.70	8.490	3.55			
T	2022-02-19 09:37:10	51.527309000	-0.077498000	17.2	4.56	8.494	3.66			
T	2022-02-19 09:37:11	51.527302000	-0.077507000	17.3	16.69	8.495	1.00			
T	2022-02-19 09:37:12	51.527272000	-0.077522000	17.3	4.77	8.498	3.50			
T	2022-02-19 09:37:13	51.527220000	-0.077480000	17.3	2.57	8.505	6.48			
T	2022-02-19 09:37:14	51.527202000	-0.077468000	17.4	7.68	8.507	2.17			
T	2022-02-19 09:37:15	51.527186000	-0.077467000	17.4	9.36	8.509	1.78			
T	2022-02-19 09:37:16	51.527167000	-0.077514000	17.4	4.29	8.513	3.89			
T	2022-02-19 09:37:17	51.527161000	-0.077533000	17.4	11.28	8.514	1.48			
T	2022-02-19 09:37:18	51.527139000	-0.077582000	17.5	3.98	8.518	4.19			
T	2022-02-19 09:37:19	51.527133000	-0.077595000	17.5	14.85	8.519	1.12			
T	2022-02-19 09:37:20	51.527113000	-0.077638000	17.5	4.48	8.523	3.72			
T	2022-02-19 09:37:21	51.527091000	-0.077689000	17.5	3.87	8.527	4.30			
T	2022-02-19 09:37:22	51.527081000	-0.077705000	17.5	10.60	8.529	1.57			
T	2022-02-19 09:37:23	51.527050000	-0.077727000	17.6	4.42	8.533	3.77			
T	2022-02-19 09:37:24	51.527036000	-0.077731000	17.6	10.53	8.534	1.58			
T	2022-02-19 09:37:25	51.527007000	-0.077752000	17.6	4.71	8.538	3.54			
T	2022-02-19 09:37:26	51.526970000	-0.077765000	17.6	3.95	8.542	4.21			
T	2022-02-19 09:37:27	51.526945000	-0.077791000	17.6	5.03	8.545	3.32			
T	2022-02-19 09:37:28	51.526918000	-0.077781000	17.6	5.41	8.548	3.08			
T	2022-02-19 09:37:29	51.526892000	-0.077792000	17.6	5.57	8.551	2.99			
T	2022-02-19 09:37:30	51.526864000	-0.077802000	17.6	5.22	8.555	3.19			
T	2022-02-19 09:37:31	51.526839000	-0.077821000	17.6	5.41	8.558	3.08			
T	2022-02-19 09:37:32	51.526809000	-0.077820000	17.5	4.99	8.561	3.34			
T	2022-02-19 09:37:33	51.526770000	-0.077825000	17.5	3.83	8.565	4.35			
T	2022-02-19 09:37:34	51.526758000	-0.077832000	17.5	11.73	8.567	1.42			
T	2022-02-19 09:37:35	51.526720000	-0.077854000	17.4	3.71	8.571	4.50			
T	2022-02-19 09:37:36	51.526706000	-0.077863000	17.4	9.93	8.573	1.68			
T	2022-02-19 09:37:37	51.526674000	-0.077876000	17.3	4.54	8.577	3.67			
T	2022-02-19 09:37:38	51.526648000	-0.077899000	17.3	5.04	8.580	3.30			
T	2022-02-19 09:37:39	51.526613000	-0.077871000	17.2	3.83	8.584	4.35			
T	2022-02-19 09:37:40	51.526583000	-0.077865000	17.2	4.95	8.588	3.36			
T	2022-02-19 09:37:41	51.526556000	-0.077881000	17.2	5.20	8.591	3.20			
T	2022-02-19 09:37:42	51.526513000	-0.077898000	17.1	3.38	8.596	4.93			
T	2022-02-19 09:37:43	51.526495000	-0.077901000	17.1	8.28	8.598	2.01			
T	2022-02-19 09:37:44	51.526461000	-0.077907000	17.0	4.38	8.602	3.81			
T	2022-02-19 09:37:45	51.526429000	-0.077911000	17.0	4.67	8.605	3.57			
T	2022-02-19 09:37:46	51.526391000	-0.077921000	17.0	3.89	8.609	4.28			
T	2022-02-19 09:37:47	51.526378000	-0.077922000	16.9	11.51	8.611	1.45			
T	2022-02-19 09:37:48	51.526333000	-0.077919000	16.9	3.33	8.616	5.01			
T	2022-02-19 09:37:49	51.526306000	-0.077919000	16.9	5.55	8.619	3.00			
T	2022-02-19 09:37:50	51.526270000	-0.077926000	16.8	4.13	8.623	4.03			
T	2022-02-19 09:37:51	51.526257000	-0.077925000	16.8	11.51	8.624	1.45			
T	2022-02-19 09:37:52	51.526232000	-0.077898000	16.8	4.97	8.628	3.35			
T	2022-02-19 09:37:53	51.526196000	-0.077908000	16.8	4.10	8.632	4.06			
T	2022-02-19 09:37:54	51.526184000	-0.077906000	16.7	12.42	8.633	1.34			
T	2022-02-19 09:37:55	51.526156000	-0.077910000	16.7	5.33	8.636	3.13			
T	2022-02-19 09:37:56	51.526125000	-0.077903000	16.7	4.79	8.640	3.48			
T	2022-02-19 09:37:57	51.526095000	-0.077914000	16.7	4.87	8.643	3.42			
T	2022-02-19 09:37:58	51.526067000	-0.077888000	16.6	4.63	8.647	3.60			
T	2022-02-19 09:37:59	51.526040000	-0.077850000	16.6	4.17	8.651	4.00			
T	2022-02-19 09:38:00	51.526003000	-0.077832000	16.5	3.87	8.655	4.30			
T	2022-02-19 09:38:01	51.525992000	-0.077825000	16.5	12.66	8.656	1.32			
T	2022-02-19 09:38:02	51.525964000	-0.077816000	16.5	5.25	8.660	3.18			
T	2022-02-19 09:38:03	51.525935000	-0.077811000	16.5	5.14	8.663	3.25			
T	2022-02-19 09:38:04	51.525906000	-0.077805000	16.4	5.12	8.666	3.25			
T	2022-02-19 09:38:05	51.525874000	-0.077777000	16.4	4.11	8.670	4.06			
T	2022-02-19 09:38:06	51.525860000	-0.077770000	16.4	10.21	8.672	1.63			
T	2022-02-19 09:38:07	51.525837000	-0.077745000	16.3	5.39	8.675	3.09			
T	2022-02-19 09:38:08	51.525802000	-0.077730000	16.3	4.13	8.679	4.03			
T	2022-02-19 09:38:09	51.525788000	-0.077742000	16.3	9.44	8.681	1.77			
T	2022-02-19 09:38:10	51.525760000	-0.077722000	16.3	4.89	8.684	3.41			
T	2022-02-19 09:38:11	51.525752000	-0.077723000	16.3	18.67	8.685	0.89			
T	2022-02-19 09:38:12	51.525734000	-0.077651000	16.2	3.10	8.690	5.38			
T	2022-02-19 09:38:13	51.525698000	-0.077634000	16.2	3.99	8.695	4.18			
T	2022-02-19 09:38:14	51.525686000	-0.077629000	16.2	12.08	8.696	1.38			
T	2022-02-19 09:38:15	51.525658000	-0.077606000	16.2	4.76	8.699	3.50			
T	2022-02-19 09:38:16	51.525644000	-0.077604000	16.2	10.66	8.701	1.56			
T	2022-02-19 09:38:17	51.525615000	-0.077587000	16.2	4.85	8.704	3.44			
T	2022-02-19 09:38:18	51.525570000	-0.077575000	16.1	3.28	8.710	5.08			
T	2022-02-19 09:38:19	51.525533000	-0.077535000	16.1	3.36	8.714	4.97			
T	2022-02-19 09:38:20	51.525518000	-0.077515000	16.1	7.68	8.717	2.17			
T	2022-02-19 09:38:21	51.525488000	-0.077497000	16.1	4.68	8.720	3.56			
T	2022-02-19 09:38:22	51.525446000	-0.077511000	16.1	3.49	8.725	4.77			
T	2022-02-19 09:38:23	51.525414000	-0.077494000	16.1	4.44	8.729	3.75			
T	2022-02-19 09:38:24	51.525402000	-0.077495000	16.0	12.47	8.730	1.34			
T	2022-02-19 09:38:25	51.525377000	-0.077460000	16.0	4.51	8.734	3.69			
T	2022-02-19 09:38:26	51.525342000	-0.077440000	16.0	4.03	8.738	4.13			
T	2022-02-19 09:38:27	51.525326000	-0.077438000	16.0	9.33	8.740	1.79			
T	2022-02-19 09:38:28	51.525290000	-0.077424000	16.0	4.04	8.744	4.12			
T	2022-02-19 09:38:29	51.525277000	-0.077423000	16.0	11.51	8.745	1.45			
T	2022-02-19 09:38:30	51.525247000	-0.077413000	16.0	4.89	8.749	3.41			
T	2022-02-19 09:38:31	51.525219000	-0.077412000	16.0	5.35	8.752	3.12			
T	2022-02-19 09:38:32	51.525200000	-0.077370000	16.0	4.63	8.755	3.60			
T	2022-02-19 09:38:33	51.525173000	-0.077363000	16.0	5.48	8.758	3.04			
T	2022-02-19 09:38:34	51.525140000	-0.077360000	16.0	4.53	8.762	3.68			
T	2022-02-19 09:38:35	51.525107000	-0.077365000	16.0	4.52	8.766	3.69			
T	2022-02-19 09:38:36	51.525080000	-0.077358000	16.0	5.48	8.769	3.04			
T	2022-02-19 09:38:37	51.525039000	-0.077352000	16.0	3.64	8.773	4.58			
T	2022-02-19 09:38:38	51.525024000	-0.077351000	16.0	9.98	8.775	1.67			
T	2022-02-19 09:38:39	51.524997000	-0.077338000	16.0	5.31	8.778	3.14			
T	2022-02-19 09:38:40	51.524972000	-0.077301000	16.0	4.40	8.782	3.79			
T	2022-02-19 09:38:41	51.524936000	-0.077294000	16.0	4.13	8.786	4.03			
T	2022-02-19 09:38:42	51.524925000	-0.077289000	16.0	13.10	8.787	1.27			
T	2022-02-19 09:38:43	51.524892000	-0.077263000	16.0	4.07	8.791	4.09			
T	2022-02-19 09:38:44	51.524856000	-0.077249000	16.0	4.04	8.796	4.12			
T	2022-02-19 09:38:45	51.524841000	-0.077257000	16.0	9.48	8.797	1.76			
T	2022-02-19 09:38:46	51.524804000	-0.077256000	16.0	4.05	8.801	4.12			
T	2022-02-19 09:38:47	51.524769000	-0.077243000	16.0	4.17	8.805	4.00			
T	2022-02-19 09:38:48	51.524739000	-0.077242000	16.0	4.99	8.809	3.34			
T	2022-02-19 09:38:49	51.524711000	-0.077235000	16.0	5.29	8.812	3.15			
T	2022-02-19 09:38:50	51.524666000	-0.077249000	16.0	3.27	8.817	5.10			
T	2022-02-19 09:38:51	51.524643000	-0.077251000	16.0	6.50	8.820	2.56			
T	2022-02-19 09:38:52	51.524599000	-0.077252000	16.0	3.40	8.824	4.90			
T	2022-02-19 09:38:53	51.524580000	-0.077243000	16.0	7.56	8.827	2.20			
T	2022-02-19 09:38:54	51.524549000	-0.077236000	16.0	4.79	8.830	3.48			
T	2022-02-19 09:38:55	51.524522000	-0.077243000	16.0	5.48	8.833	3.04			
T	2022-02-19 09:38:56	51.524494000	-0.077236000	15.9	5.29	8.836	3.15			
T	2022-02-19 09:38:57	51.524467000	-0.077228000	15.9	5.46	8.839	3.05			
T	2022-02-19 09:38:58	51.524425000	-0.077226000	15.9	3.57	8.844	4.67			
T	2022-02-19 09:38:59	51.524407000	-0.077239000	15.9	7.59	8.846	2.20			
T	2022-02-19 09:39:00	51.524372000	-0.077252000	15.9	4.17	8.850	4.00			
T	2022-02-19 09:39:01	51.524345000	-0.077264000	15.9	5.35	8.853	3.12			
T	2022-02-19 09:39:02	51.524318000	-0.077265000	15.9	5.55	8.856	3.00			
T	2022-02-19 09:39:03	51.524283000	-0.077251000	15.8	4.15	8.860	4.01			
T	2022-02-19 09:39:04	51.524270000	-0.077250000	15.8	11.51	8.862	1.45			
T	2022-02-19 09:39:05	51.524239000	-0.077228000	15.8	4.42	8.866	3.77			
T	2022-02-19 09:39:06	51.524229000	-0.077212000	15.8	10.60	8.867	1.57			
T	2022-02-19 09:39:07	51.524203000	-0.077184000	15.8	4.78	8.871	3.48			
T	2022-02-19 09:39:08	51.524163000	-0.077187000	15.8	3.74	8.875	4.46			
T	2022-02-19 09:39:09	51.524144000	-0.077188000	15.8	7.88	8.877	2.12			
T	2022-02-19 09:39:10	51.524109000	-0.077165000	15.8	3.96	8.881	4.21			
T	2022-02-19 09:39:11	51.524096000	-0.077166000	15.8	11.51	8.883	1.45			
T	2022-02-19 09:39:12	51.524069000	-0.077149000	15.7	5.16	8.886	3.23			
T	2022-02-19 09:39:13	51.524035000	-0.077154000	15.7	4.39	8.890	3.80			
T	2022-02-19 09:39:14	51.524021000	-0.077161000	15.7	10.21	8.892	1.63			
T	2022-02-19 09:39:15	51.523985000	-0.077167000	15.7	4.14	8.896	4.03			
T	2022-02-19 09:39:16	51.523950000	-0.077185000	15.7	4.08	8.900	4.09			
T	2022-02-19 09:39:17	51.523918000	-0.077185000	15.7	4.68	8.903	3.56			
T	2022-02-19 09:39:18	51.523882000	-0.077197000	15.6	4.07	8.907	4.09			
T	2022-02-19 09:39:19	51.523869000	-0.077206000	15.6	10.58	8.909	1.58			
T	2022-02-19 09:39:20	51.523829000	-0.077198000	15.6	3.72	8.913	4.48			
T	2022-02-19 09:39:21	51.523815000	-0.077186000	15.6	9.44	8.915	1.77			
T	2022-02-19 09:39:22	51.523786000	-0.077184000	15.6	5.16	8.918	3.23			
T	2022-02-19 09:39:23	51.523753000	-0.077185000	15.6	4.54	8.922	3.67			
T	2022-02-19 09:39:24	51.523745000	-0.077180000	15.5	17.45	8.923	0.96			
T	2022-02-19 09:39:25	51.523719000	-0.077147000	15.5	4.52	8.927	3.69			
T	2022-02-19 09:39:26	51.523707000	-0.077146000	15.5	12.47	8.928	1.34			
T	2022-02-19 09:39:27	51.523682000	-0.077177000	15.5	4.74	8.932	3.52			
T	2022-02-19 09:39:28	51.523649000	-0.077232000	15.5	3.15	8.937	5.30			
T	2022-02-19 09:39:29	51.523630000	-0.077237000	15.5	7.78	8.939	2.14			
T	2022-02-19 09:39:30	51.523621000	-0.077209000	15.5	7.62	8.941	2.19			
T	2022-02-19 09:39:31	51.523625000	-0.077171000	15.5	6.23	8.944	2.67			
T	2022-02-19 09:39:32	51.523636000	-0.077166000	15.5	13.10	8.945	1.27			
T	2022-02-19 09:39:33	51.523666000	-0.077165000	15.5	4.99	8.948	3.34			
T	2022-02-19 09:39:34	51.523682000	-0.077165000	15.5	9.36	8.950	1.78			
T	2022-02-19 09:39:35	51.523676000	-0.077185000	15.5	10.82	8.952	1.54			
T	2022-02-19 09:39:36	51.523666000	-0.077188000	15.5	14.72	8.953	1.13			
T	2022-02-19 09:39:37	51.523656000	-0.077191000	15.5	14.72	8.954	1.13			
T	2022-02-19 09:39:38	51.523646000	-0.077194000	15.5	14.72	8.955	1.13			
T	2022-02-19 09:39:39	51.523632000	-0.077205000	15.5	9.61	8.957	1.73			
T	2022-02-19 09:39:40	51.523627000	-0.077205000	15.5	29.96	8.957	0.56			
T	2022-02-19 09:39:41	51.523621000	-0.077205000	15.5	24.97	8.958	0.67			
T	2022-02-19 09:39:42	51.523615000	-0.077205000	15.5	24.97	8.959	0.67			
T	2022-02-19 09:39:43	51.523610000	-0.077204000	15.5	29.73	8.959	0.56			
T	2022-02-19 09:39:44	51.523568000	-0.077207000	15.4	3.56	8.964	4.68			
T	2022-02-19 09:39:45	51.523545000	-0.077206000	15.4	6.51	8.967	2.56			
T	2022-02-19 09:39:46	51.523515000	-0.077209000	15.4	4.98	8.970	3.34			
T	2022-02-19 09:39:47	51.523497000	-0.077227000	15.3	7.06	8.972	2.36			
T	2022-02-19 09:39:48	51.523491000	-0.077240000	15.3	14.85	8.973	1.12			
T	2022-02-19 09:39:49	51.523480000	-0.077239000	15.3	13.60	8.975	1.23			
T	2022-02-19 09:39:50	51.523462000	-0.077249000	15.3	7.86	8.977	2.12			
T	2022-02-19 09:39:51	51.523428000	-0.077240000	15.3	4.35	8.981	3.83			
T	2022-02-19 09:39:52	51.523417000	-0.077231000	15.3	12.13	8.982	1.37			
T	2022-02-19 09:39:53	51.523385000	-0.077264000	15.2	3.94	8.986	4.23			
T	2022-02-19 09:39:54	51.523371000	-0.077283000	15.2	8.17	8.988	2.04			
T	2022-02-19 09:39:55	51.523337000	-0.077321000	15.2	3.61	8.993	4.61			
T	2022-02-19 09:39:56	51.523314000	-0.077370000	15.2	3.92	8.997	4.26			
T	2022-02-19 09:39:57	51.523289000	-0.077400000	15.2	4.80	9.001	3.47			
T	2022-02-19 09:39:58	51.523253000	-0.077391000	15.2	4.11	9.005	4.05			
T	2022-02-19 09:39:59	51.523217000	-0.077393000	15.3	4.16	9.009	4.01			
T	2022-02-19 09:40:00	51.523187000	-0.077398000	15.3	4.97	9.012	3.36			
T	2022-02-19 09:40:01	51.523156000	-0.077405000	15.3	4.79	9.015	3.48			
T	2022-02-19 09:40:02	51.523122000	-0.077434000	15.3	3.89	9.020	4.28			
T	2022-02-19 09:40:03	51.523092000	-0.077437000	15.4	4.98	9.023	3.34			
T	2022-02-19 09:40:04	51.523042000	-0.077448000	15.4	2.97	9.029	5.62			
T	2022-02-19 09:40:05	51.523019000	-0.077450000	15.4	6.50	9.031	2.56			
T	2022-02-19 09:40:06	51.522993000	-0.077503000	15.4	3.56	9.036	4.68			
T	2022-02-19 09:40:07	51.522959000	-0.077550000	15.4	3.34	9.041	5.00			
T	2022-02-19 09:40:08	51.522943000	-0.077568000	15.4	7.66	9.043	2.17			
T	2022-02-19 09:40:09	51.522914000	-0.077592000	15.4	4.59	9.047	3.63			
T	2022-02-19 09:40:10	51.522902000	-0.077598000	15.4	11.92	9.048	1.40			
T	2022-02-19 09:40:11	51.522890000	-0.077604000	15.4	11.92	9.050	1.40			
T	2022-02-19 09:40:12	51.522876000	-0.077613000	15.4	9.93	9.051	1.68			
T	2022-02-19 09:40:13	51.522867000	-0.077616000	15.4	16.30	9.052	1.02			
T	2022-02-19 09:40:14	51.522865000	-0.077618000	15.4	63.55	9.053	0.26			
T	2022-02-19 09:40:15	51.522868000	-0.077613000	15.4	34.61	9.053	0.48			
T	2022-02-19 09:40:16	51.522869000	-0.077613000	15.4	149.80	9.053	0.11			
T	2022-02-19 09:40:17	51.522875000	-0.077583000	15.3	7.62	9.055	2.19			
T	2022-02-19 09:40:18	51.522874000	-0.077577000	15.3	38.67	9.056	0.43			
T	2022-02-19 09:40:19	51.522872000	-0.077585000	15.3	27.86	9.056	0.60			
T	2022-02-19 09:40:20	51.522868000	-0.077588000	15.3	33.92	9.057	0.49			
T	2022-02-19 09:40:21	51.522872000	-0.077585000	15.3	33.92	9.057	0.49			
T	2022-02-19 09:40:22	51.522876000	-0.077585000	15.3	37.45	9.058	0.45			
T	2022-02-19 09:40:23	51.522869000	-0.077587000	15.3	21.07	9.059	0.79			
T	2022-02-19 09:40:24	51.522856000	-0.077604000	15.3	8.93	9.060	1.87			
T	2022-02-19 09:40:25	51.522843000	-0.077592000	15.3	9.99	9.062	1.67			
T	2022-02-19 09:40:26	51.522834000	-0.077589000	15.3	16.30	9.063	1.02			
T	2022-02-19 09:40:27	51.522815000	-0.077601000	15.3	7.34	9.065	2.27			
T	2022-02-19 09:40:28	51.522807000	-0.077599000	15.3	18.50	9.066	0.90			
T	2022-02-19 09:40:29	51.522802000	-0.077593000	15.3	23.98	9.067	0.69			
T	2022-02-19 09:40:30	51.522798000	-0.077588000	15.3	29.53	9.068	0.56			
T	2022-02-19 09:40:31	51.522794000	-0.077582000	15.3	27.35	9.068	0.61			
T	2022-02-19 09:40:32	51.522789000	-0.077576000	15.3	23.98	9.069	0.69			
T	2022-02-19 09:40:33	51.522785000	-0.077570000	15.3	27.35	9.069	0.61			
T	2022-02-19 09:40:34	51.522781000	-0.077564000	15.3	27.35	9.070	0.61			
T	2022-02-19 09:40:35	51.522746000	-0.077581000	15.3	4.10	9.074	4.07			
T	2022-02-19 09:40:36	51.522734000	-0.077585000	15.3	12.22	9.076	1.36			
T	2022-02-19 09:40:37	51.522702000	-0.077605000	15.3	4.36	9.079	3.82			
T	2022-02-19 09:40:38	51.522687000	-0.077616000	15.2	9.08	9.081	1.84			
T	2022-02-19 09:40:39	51.522656000	-0.077653000	15.2	3.88	9.085	4.30			
T	2022-02-19 09:40:40	51.522632000	-0.077676000	15.2	5.36	9.089	3.11			
T	2022-02-19 09:40:41	51.522612000	-0.077705000	15.2	5.55	9.092	3.00			
T	2022-02-19 09:40:42	51.522586000	-0.077720000	15.1	5.42	9.095	3.07			
T	2022-02-19 09:40:43	51.522547000	-0.077727000	15.1	3.82	9.099	4.37			
T	2022-02-19 09:40:44	51.522511000	-0.077760000	15.1	3.61	9.104	4.61			
T	2022-02-19 09:40:45	51.522499000	-0.077773000	15.1	10.34	9.105	1.61			
T	2022-02-19 09:40:46	51.522470000	-0.077803000	15.0	4.34	9.109	3.84			
T	2022-02-19 09:40:47	51.522430000	-0.077827000	15.0	3.51	9.114	4.75			
T	2022-02-19 09:40:48	51.522412000	-0.077832000	15.0	8.20	9.116	2.03			
T	2022-02-19 09:40:49	51.522379000	-0.077836000	15.0	4.53	9.120	3.68			
T	2022-02-19 09:40:50	51.522345000	-0.077842000	14.9	4.38	9.123	3.81			
T	2022-02-19 09:40:51	51.522318000	-0.077846000	14.9	5.52	9.126	3.02			
T	2022-02-19 09:40:52	51.522297000	-0.077880000	14.9	5.02	9.130	3.32			
T	2022-02-19 09:40:53	51.522261000	-0.077893000	14.9	4.06	9.134	4.11			
T	2022-02-19 09:40:54	51.522246000	-0.077887000	14.9	9.69	9.136	1.72			
T	2022-02-19 09:40:55	51.522221000	-0.077918000	14.9	4.74	9.139	3.52			
T	2022-02-19 09:40:56	51.522183000	-0.077908000	14.8	3.89	9.143	4.28			
T	2022-02-19 09:40:57	51.522150000	-0.077916000	14.8	4.49	9.147	3.71			
T	2022-02-19 09:40:58	51.522121000	-0.077951000	14.8	4.13	9.151	4.04			
T	2022-02-19 09:40:59	51.522108000	-0.077960000	14.8	10.58	9.153	1.58			
T	2022-02-19 09:41:00	51.522072000	-0.077985000	14.8	3.82	9.157	4.36			
T	2022-02-19 09:41:01	51.522058000	-0.077988000	14.8	10.61	9.159	1.57			
T	2022-02-19 09:41:02	51.522033000	-0.078014000	14.8	5.03	9.162	3.32			
T	2022-02-19 09:41:03	51.522005000	-0.078028000	14.8	5.11	9.165	3.26			
T	2022-02-19 09:41:04	51.521972000	-0.078060000	14.8	3.88	9.169	4.29			
T	2022-02-19 09:41:05	51.521945000	-0.078103000	14.7	3.94	9.174	4.23			
T	2022-02-19 09:41:06	51.521937000	-0.078115000	14.7	13.67	9.175	1.22			
T	2022-02-19 09:41:07	51.521904000	-0.078132000	14.7	4.32	9.179	3.86			
T	2022-02-19 09:41:08	51.521895000	-0.078134000	14.7	16.49	9.180	1.01			
T	2022-02-19 09:41:09	51.521857000	-0.078140000	14.7	3.92	9.184	4.25			
T	2022-02-19 09:41:10	51.521843000	-0.078141000	14.7	10.69	9.186	1.56			
T	2022-02-19 09:41:11	51.521814000	-0.078147000	14.7	5.12	9.189	3.25			
T	2022-02-19 09:41:12	51.521783000	-0.078157000	14.7	4.74	9.192	3.52			
T	2022-02-19 09:41:13	51.521749000	-0.078161000	14.7	4.39	9.196	3.79			
T	2022-02-19 09:41:14	51.521717000	-0.078174000	14.7	4.54	9.200	3.67			
T	2022-02-19 09:41:15	51.521691000	-0.078202000	14.7	4.78	9.203	3.48			
T	2022-02-19 09:41:16	51.521666000	-0.078229000	14.7	4.97	9.207	3.35			
T	2022-02-19 09:41:17	51.521643000	-0.078267000	14.7	4.54	9.210	3.67			
T	2022-02-19 09:41:18	51.521601000	-0.078291000	14.6	3.36	9.215	4.96			
T	2022-02-19 09:41:19	51.521579000	-0.078287000	14.6	6.77	9.218	2.46			
T	2022-02-19 09:41:20	51.521554000	-0.078317000	14.6	4.80	9.221	3.47			
T	2022-02-19 09:41:21	51.521526000	-0.078331000	14.6	5.11	9.224	3.26			
T	2022-02-19 09:41:22	51.521506000	-0.078369000	14.6	4.83	9.228	3.45			
T	2022-02-19 09:41:23	51.521526000	-0.078479000	14.6	2.10	9.236	7.95			
T	2022-02-19 09:41:24	51.521492000	-0.078490000	14.6	4.32	9.240	3.86			
T	2022-02-19 09:41:25	51.521476000	-0.078505000	14.6	8.08	9.242	2.06			
T	2022-02-19 09:41:26	51.521442000	-0.078531000	14.6	3.98	9.246	4.19			
T	2022-02-19 09:41:27	51.521432000	-0.078550000	14.6	9.66	9.248	1.73			
T	2022-02-19 09:41:28	51.521404000	-0.078559000	14.6	5.25	9.251	3.18			
T	2022-02-19 09:41:29	51.521349000	-0.078507000	14.6	2.35	9.258	7.10			
T	2022-02-19 09:41:30	51.521314000	-0.078489000	14.6	4.08	9.262	4.09			
T	2022-02-19 09:41:31	51.521277000	-0.078481000	14.6	4.01	9.266	4.15			
T	2022-02-19 09:41:32	51.521263000	-0.078484000	14.6	10.61	9.268	1.57			
T	2022-02-19 09:41:33	51.521226000	-0.078523000	14.6	3.38	9.273	4.93			
T	2022-02-19 09:41:34	51.521198000	-0.078571000	14.6	3.65	9.277	4.56			
T	2022-02-19 09:41:35	51.521176000	-0.078614000	14.6	4.32	9.281	3.86			
T	2022-02-19 09:41:36	51.521168000	-0.078626000	14.6	13.67	9.282	1.22			
T	2022-02-19 09:41:37	51.521143000	-0.078662000	14.6	4.46	9.286	3.74			
T	2022-02-19 09:41:38	51.521132000	-0.078673000	14.6	11.55	9.288	1.44			
T	2022-02-19 09:41:39	51.521118000	-0.078718000	14.6	4.78	9.291	3.49			
T	2022-02-19 09:41:40	51.521112000	-0.078735000	14.6	12.29	9.292	1.36			
T	2022-02-19 09:41:41	51.521108000	-0.078785000	14.6	4.76	9.296	3.50			
T	2022-02-19 09:41:42	51.521101000	-0.078836000	14.6	4.60	9.300	3.62			
T	2022-02-19 09:41:43	51.521124000	-0.078899000	14.7	3.29	9.305	5.07			
T	2022-02-19 09:41:44	51.521134000	-0.078983000	14.7	2.81	9.311	5.94			
T	2022-02-19 09:41:45	51.521140000	-0.079045000	14.7	3.83	9.315	4.35			
T	2022-02-19 09:41:46	51.521144000	-0.079093000	14.7	4.96	9.318	3.36			
T	2022-02-19 09:41:47	51.521145000	-0.079136000	14.7	5.58	9.321	2.99			
T	2022-02-19 09:41:48	51.521150000	-0.079197000	14.7	3.90	9.326	4.27			
T	2022-02-19 09:41:49	51.521154000	-0.079216000	14.7	11.97	9.327	1.39			
